,雇主id,雇主名字,provice_name,city_name,订单内容,成交金额,经度,纬度
1165,21971757,t_0231_HLjui1,山东,威海,【高端原创】公司LOGO企业logo标志设计vi设计商标设计,528,121.9482,37.1393
1166,21846816,m_4372_y39iup,江苏,镇江,音频小程序开发,7600,119.4763,31.9702
1167,16587265,Kevin龙,四川,成都,品牌logo公司logo设计商标设计标志,688,103.9526,30.7617
1168,6607441,孙波2012,河南,鹤壁,淘宝天猫京东代运营店铺托管诊断网店手机无线店铺装修详情页设计,250,114.3787,35.744
1169,954419,xiaotk168,广东,深圳,企业签名|IOS签名|苹果签名|苹果上架|应用上架|苹果证书,2500,114.5435,22.5439
1170,18518881,阿旺_企业库存分析,江苏,常州,【企业网站建设】网站制作 网站开发定制 网页设计  网站仿站,1300,119.4543,31.5582
1171,20027534,t_7646nszkr1,广东,湛江,企业网站建设网站设计网站开发网站定制网站制作网页设计公司官网,80,110.3577,20.9894
1172,10186806,m_29279npght,四川,成都,PS图片处理美工P图修图抠图去水印改字主图详情页图片设计,20,103.9526,30.7617
1173,21757456,m_4877_3xpibt,河南,濮阳,餐厅大亨游戏二期款,16500,115.1917,35.799
1174,21937607,t_6493_aYa9rq,北京,北京,【高性价】食品饮料高端包装设计手提袋装设计产品插画包装瓶标贴,1,116.4551,40.2539
1175,8739036,卤水点臭豆腐,上海,上海,婴童品牌LOGO设计,300,121.4648,31.2891
1176,6512014,IRS上海热像,上海,上海,包装设计外观装潢礼盒包装瓶型造型包装效果图外卖快递中转箱包装,3320,121.4648,31.2891
1177,21690475,m_8827_vl4vzr,上海,上海,logo设计公司企业餐饮旅游商标logo设计资深设计满意为止,500,121.4648,31.2891
1178,16525256,泰宏工作室,山东,莱芜,【新用户福利】我需要2019全年H5互动营销服务,0.1,117.6526,36.2714
1179,21933887,m_6707_a8srd9,黑龙江,哈尔滨,微领网络营销策划,40,127.9688,45.368
1180,11111418,最心安处即吾,重庆,重庆,我需要请柬设计,400,107.7539,30.1904
1181,21915835,t_3634_gzjw7z,浙江,杭州,杭州泱睿私密科技有限公司需要logo,2000,119.5313,29.8773
1182,21916013,m_2273_ehw4bl,广东,深圳,我需要logo,500,114.5435,22.5439
1183,19575706,t_5654htksud,北京,北京,【金墨名片设计】卡片设计高端创意名片设计企业个人名片公司设计,200,116.4551,40.2539
1184,22039462,m_5104_u8nflt,河南,洛阳,品牌科技公司餐饮门店食品产品LOGO设计商标标志logo设计,1000,112.0605,34.3158
1185,9589686,weihx,湖北,十堰,网站UI设计网页UI设计PC端UI设计网站整套原型交互,500,110.5115,32.3877
1186,21859870,m_0218_2dy8ir,重庆,重庆,我需要宣传册设计,1700,107.7539,30.1904
1187,21937173,t_3017_DBkx14,宁夏,中卫,【高性价】食品饮料高端包装设计手提袋装设计产品插画包装瓶标贴,1,105.4028,36.9525
1188,21329459,t_7365JBbj39,重庆,重庆,湖北军辉度假酒店LOGO设计,2000,107.7539,30.1904
1189,21835860,m_7723_sql6wj,四川,成都,我需要LOGO,500,103.9526,30.7617
1190,21996290,m_7911_c1ima6,天津,天津,我需要LOGO,599,117.4219,39.4189
1191,15046340,禀心文案,江苏,泰州,文化科技行业LOGO设计,300,120.0586,32.5525
1192,21868897,m_3136_y17ah7,重庆,重庆,品牌策划品牌故事企业公司简介品牌文化公司品牌理念愿景文案写作,680,107.7539,30.1904
1193,22026564,t_8739ybgeqx,湖南,长沙,【易拉宝设计】易拉宝宣传海报、广告物料设计餐饮食品旅游培训,13,113.0823,28.2568
1194,11223177,农民子弟,上海,上海,淘宝天猫推广淘宝天猫网店店铺手机APP无线流量,158,121.4648,31.2891
1195,21955906,t_6529_fmg76d,浙江,杭州,微信小程序开发/小程序开发/微信小程序建设/定制各行业小程序,1000,119.5313,29.8773
1196,10166047,xhome设计,上海,上海,互联网农副产品销售公司LOGO设计,500,121.4648,31.2891
1197,21661397,t_8533_mk4zx9,四川,成都,APP整站UI美化设计,1000,103.9526,30.7617
1198,11347529,weition,广东,广州,3-10天！百度下拉框 相关搜索词***优化排名******,1200,113.5107,23.2196
1199,20030841,t_8243ym7n42,云南,丽江,小程序开发微信开发微商城微官网微信分销系统公众号微信公众平台,80,100.448,26.955
1200,21779503,m_8894_mx4yqf,广东,佛山,米璐居家居需要详情页设计,400,112.8955,23.1097
1201,21882257,m_4308_m6e8g5,河南,郑州,【新用户福利】我需要企业抖音号代认证服务,0.1,113.4668,34.6234
1202,21968690,亿阳环保,广东,佛山,【特惠】公司海报设计/企业宣传海报设计/品牌海报设计,298,112.8955,23.1097
1203,18700934,open_jq2p_q4rn,北京,北京,我需要其它宣传品设计,1200,116.4551,40.2539
1204,6134867,托运单附件,广东,佛山,佛山市跑得快物流有限公司需要宣传单设计,200,112.8955,23.1097
1205,21677186,m_4491_6jqre8,江苏,南京,产品介绍产品卖点提炼产品文案软文宣传软文文案宣传手册招商软文,350,118.8062,31.9208
1206,21855898,m_6930_x39r2i,湖北,襄阳,我需要logo,188,111.9397,31.9263
1207,18145491,t_7209savrju,湖北,武汉,品牌整合营销策划媒体投放策划企业公关策划网络营销策划,700,114.3896,30.6628
1208,5415684,wik_heli,四川,成都,我需要logo,500,103.9526,30.7617
1209,21907879,t_2581petpun,四川,成都,【新用户福利】我需要企业抖音号代认证服务,0.1,103.9526,30.7617
1210,21734428,m_4295_hmj3ss,山东,济南,运动服设计，运动套装设计，工作服 赛事运动服 设计运动夹克,1188,117.1582,36.8701
1211,21980363,t_4773_QYxhvq,广东,东莞,宣传画册单张折页物料海报封面排版电子科技深圳修改到满意为止,600,113.8953,22.901
1212,21855590,m_9702_t5qk7m,陕西,西安,西安赛客赛思策略机构需要四格漫画,3000,109.1162,34.2004
1213,15288461,t_9149pgy9yq,浙江,宁波,品牌故事企业文化公司简介绍理念文案策划定位愿景口号价值观写作,900,121.5967,29.6466
1214,21677763,m_5584_0vr7c0,四川,泸州,展位效果图设计 装修效果图  室内设计 展厅设计 展厅效果图,1000,105.4578,28.493
1215,20657051,快乐幸福的小鸡,重庆,重庆,公司企业logo设计标志商标图标卡通设计食品酒店餐饮logo,500,107.7539,30.1904
1216,13941845,SeptemberCo,重庆,重庆,两元一天！网站广告位两元一天！,350,107.7539,30.1904
1217,21916742,m_7678_zge2n9,浙江,杭州,【海报Banner设计】五金零售百货教育行业宣传活动促销海报,280,119.5313,29.8773
1218,21894728,t_7204_pj5z84,广西,河池,苹果企业证书签名APP iOS签名 ipa打包wap封装,300,107.8638,24.5819
1219,21945405,m_5415_1hpmdl,北京,北京,人力资源  LOGO设计,2000,116.4551,40.2539
1220,1277179,tangxiaomao,安徽,铜陵,【电商直播】京东天猫淘宝直播达人店铺全球购直播图文短视频营销,60,117.9382,30.9375
1221,17328378,m_0286_a2uy6h,江苏,南京,企业产品DM单设计美工册子宣传单设计单页折页三折页单张设计,1485,118.8062,31.9208
1222,21354121,m_9221_5dbrml,江苏,常州,艺术教育培训机构logo设计,500,119.4543,31.5582
1223,21566652,t_1719gMg7vf,广东,深圳,移动开发微信开发小程序定制开发百度小程序|H5公众号定制开发,100,114.5435,22.5439
1224,21836668,m_5395_w6p4as,广东,深圳,系统界面uiWEB软件后台软件界面设计pc软件界面UI设计,8652,114.5435,22.5439
1225,21086114,t_0721icicp4,福建,泉州,淘宝天猫代运营拼多多代运营淘宝直播天猫直播全球购直播策划运营,40,118.3228,25.1147
1226,21971697,m_0710_cm73ys,四川,泸州,宝宝起名取名小孩婴儿人工大师（八字五行，传统周易）普通版,288,105.4578,28.493
1227,10850747,佑佑V5,江苏,扬州,【专业配音】彩铃广告飞蝶说PPT解说课件专题英文动画出单快,415.8,119.4653,32.8162
1228,21907485,t_5627_nIdrnn,北京,北京,【弓与笔LOGO设计】公司品牌商标设计,3000,116.4551,40.2539
